Clase,Lugar,Cantidad_Viajes
restaurant,Veganion Antojería,19
restaurant,La Guapachosa,19
hotel,Road Scholar Hotel,19
restaurant,Prime & Wine,19
restaurant,La P,19
restaurant,Taquearte,19
restaurant,Restaurante El Reloj,19
restaurant,Teikit,19
restaurant,Fonda Argentina,18
restaurant,Ramen -ya,18
restaurant,Frëims,18
restaurant,El Pastecito,18
hotel,Roble,18
restaurant,Shake shack burgers,18
restaurant,La Corte,18
hotel,Hotel Roble,18
restaurant,Fonda Godínez,18
restaurant,Revolución 67,18
restaurant,Los Vegetarianos,18
restaurant,Miralto,18
restaurant,Taco Game,18
restaurant,Pujol,18
hotel,Zocalo Rooms,18
restaurant,Rebel Wings,18
hotel,Balcón del Zócalo,18
restaurant,Beer Factory,18
restaurant,Comida china,18
restaurant,Doña Blanca,18
restaurant,Los Bisquets de Obregon Lindavista,18
restaurant,Young Bin Kwan,18
restaurant,Frutos Prohibidos,18
restaurant,Pizzeria Malasaña,17
restaurant,Salón Corona,17
restaurant,Potzolcalli,17
restaurant,Terraza Don Batiz,17
restaurant,El Ave Fénix,17
restaurant,La Sirenita Mariscos,17
hotel,Hotel Hot,17
restaurant,Tlaquepaque Taquería,17
restaurant,Il Ristrovo,17
restaurant,Kaminari ramen,17
restaurant,Pinche Gringo,17
restaurant,Fogoncito,17
restaurant,Centro Castellano,17
restaurant,Japanese,17
restaurant,Restaurante Vegetariano Terra Nostre,16
restaurant,Nikola,16
restaurant,Fonda Santa Rita,16
restaurant,Salon Corona,16
restaurant,El Rincón Gourmet,16
restaurant,Gffjv,16
restaurant,Pho King,16
restaurant,Lupita,16
restaurant,La Petite Crêpe,16
restaurant,Suntory del Valle,16
restaurant,Nuvo sushi,16
restaurant,100 Montaditos,16
restaurant,Bodega de Los Malazzo,16
restaurant,Arandas Taquería,16
restaurant,Fonda mi lupita,16
restaurant,El Bajio,16
restaurant,Sabor de Hogar,16
restaurant,La Casa del Pavo,16
restaurant,Lonchería La Rambla,16
restaurant,Milo's,15
restaurant,Los Chilangos,15
restaurant,Restaurant Sazon Oaxaqueño,15
restaurant,Pacífica,15
restaurant,Un Rincon de Chile,15
restaurant,Tortas La Reforma,15
hotel,Hotel Fleming,15
restaurant,Catamundi,15
hotel,Hotel Ritz,15
restaurant,Café La Blanca,15
restaurant,Botanero del Valle,15
restaurant,La Casa de Las Enchiladas (Bajío),15
restaurant,Taquería tlaquepaque,15
restaurant,La Bodeguita del Medio,15
restaurant,Nagaoka,15
restaurant,Caifán,15
restaurant,Buffete Chino Hui,15
restaurant,Danubio,15
restaurant,El Cuatro20,15
restaurant,Legión Americana,15
hotel,Juarez,15
restaurant,Los Arcos De Regina,15
restaurant,La Capilla,15
restaurant,La Posta,15
restaurant,Baguettery,15
restaurant,El 9 de Isabel,15
restaurant,Tommy Pizzas,15
restaurant,La casa de todos,15
restaurant,Cardamomo,15
restaurant,La Muralla China,15
restaurant,Taquería Pocho,15
restaurant,Cordon Bleu,15
restaurant,Cocina India Bukhara,15
restaurant,Del Mar,15
restaurant,Comida La Abuela,15
restaurant,Take a Wok,15
restaurant,Canela y Oro,15
hotel,Hotel El Salvador,15
restaurant,Casa Rosalía,15
restaurant,Cuatro20,15
restaurant,Pasagüero,15
restaurant,La Encomienda,15
restaurant,Cantina Buenos Aires,15
restaurant,Flor de Viento Health Food,14
restaurant,Confetti,14
restaurant,brassi,14
restaurant,Atípico,14
restaurant,Comedor Jacinta,14
restaurant,Delirio,14
restaurant,La Cebolla Morada,14
restaurant,Desayunos Hollywood,14
restaurant,Tortas El Estudiante,14
restaurant,Bar Cantina La Reforma,14
restaurant,Cocina "de Mamá",14
restaurant,Comida económica "Rossy",14
restaurant,Buffet Chino $50,14
restaurant,Rico Sazón,14
restaurant,Rouge Bohème Bistro,14
restaurant,Mi Jacalito,14
restaurant,Guisando Ando,14
restaurant,El Popular,14
restaurant,Kerouac,14
restaurant,Bellopuerto,14
restaurant,Artisans et Boulangers,14
restaurant,Deigo Ramen,14
restaurant,Taquería Los Cocuyos,14
restaurant,La embajda Jarocha,14
restaurant,Vasconia tacos tortas etc,14
hotel,Hotel Principal,14
