Id_Viajes_Taxi,Proveedor,FechaHora_Inicio,FechaHora_Fin,Clase,Nombre,Distancia
9985,Mexico DF Taxi Libre,2017-07-10 03:10:00,2017-07-10 03:21:00,tree,Antiguo Ahuehuete. Monumento de Tacuba,217.21916723319319
508,Mexico DF Taxi de Sitio,2017-04-01 03:07:00,2017-04-01 03:56:00,tree,Trueno,217.08623870260399
1267,Mexico DF Taxi Libre,2017-07-16 05:30:00,2017-07-16 05:52:00,spring,fuente mujer revolucionaria,215.41959114575621
1354,Mexico DF Taxi Libre,2017-07-18 11:11:00,2017-07-18 11:25:00,tree,Árbol de la Noche Victoriosa,213.90360401544004
6613,Mexico DF Taxi de Sitio,2017-03-20 11:20:00,2017-03-20 11:38:00,tree,Árbol feliz,211.0750805812134
7998,Mexico DF Taxi de Sitio,2016-12-06 10:50:00,2016-12-06 11:20:00,tree,Sabino,210.80370355585526
10691,Mexico DF Taxi Libre,2016-10-27 07:52:00,2016-10-27 08:07:00,tree,Sabino,210.54269179650578
2883,Mexico DF Taxi Libre,2017-01-13 09:45:00,2017-01-13 10:00:00,tree,Árbol de la Noche Victoriosa,209.45825699498431
508,Mexico DF Taxi de Sitio,2017-04-01 03:07:00,2017-04-01 03:56:00,tree,Fresno,208.7149693683003
6909,Mexico DF Radio Taxi,2017-05-05 10:47:00,2017-05-05 12:10:00,tree,Ahuehuete El Sargento,207.98293590331949
2479,Mexico DF UberBlack,2016-12-22 07:31:00,2016-12-22 07:34:00,tree,Antiguo Ahuehuete. Monumento de Tacuba,205.4498584873744
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Colorín,204.16145149982137
508,Mexico DF Taxi de Sitio,2017-04-01 03:07:00,2017-04-01 03:56:00,tree,Pirul brasileño,201.81918483416246
193,Mexico DF Taxi Libre,2017-04-24 08:41:00,2017-04-24 09:20:00,tree,Sabino,201.2896613044237
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Trueno,201.03301480529933
5031,Mexico DF UberX,2017-02-21 12:08:00,2017-02-21 12:19:00,tree,El Cardenal,197.23217047528678
7998,Mexico DF Taxi de Sitio,2016-12-06 10:50:00,2016-12-06 11:20:00,tree,Sabino,196.71417774289753
7491,Mexico DF Taxi Libre,2017-05-30 02:26:00,2017-05-30 02:47:00,tree,Antiguo Ahuehuete de Santa Catarina,196.68702667442591
7655,Mexico DF UberXL,2017-01-19 11:30:00,2017-01-19 11:43:00,tree,Palmera,196.32986914131814
10402,Mexico DF Taxi de Sitio,2017-04-07 07:51:00,2017-04-07 09:23:00,tree,El Cardenal,195.35507586700166
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Trueno,194.43023006965805
1031,Mexico DF Taxi de Sitio,2017-03-16 09:33:00,2017-03-16 09:44:00,peak,Ticoman - El Cantil,194.25590123499938
8408,Mexico DF Taxi de Sitio,2017-06-18 02:54:00,2017-06-18 05:21:00,tree,Palmera,193.6047727618963
4204,Mexico DF Radio Taxi,2017-06-10 05:35:00,2017-06-10 05:43:00,tree,Ahuehuete El Sargento,193.30023975130507
4820,Mexico DF Taxi de Sitio,2016-12-28 06:20:00,2016-12-28 06:44:00,tree,El Cardenal,189.91336725786695
3674,Mexico DF Taxi de Sitio,2016-12-01 10:30:00,2016-12-01 12:05:00,tree,Jacaranda,188.82513340711773
193,Mexico DF Taxi Libre,2017-04-24 08:41:00,2017-04-24 09:20:00,tree,Sabino,186.71760232226555
4154,Mexico DF Taxi Libre,2017-06-08 02:15:00,2017-06-08 02:34:00,peak,Ticoman - El Cantil,184.49339332311692
8408,Mexico DF Taxi de Sitio,2017-06-18 02:54:00,2017-06-18 05:21:00,tree,Palmera,184.4174205296359
4031,Mexico DF Taxi Libre,2017-06-04 12:45:00,2017-06-04 01:04:00,tree,Sabino,172.12906765416278
8120,Mexico DF Taxi Libre,2016-12-10 03:44:00,2016-12-10 03:53:00,tree,Palmera,170.145793012718
