Hora,Cantidad_Viajes,Latitud,Longitud
2017-01-20 08:00:00,3,19.355779389999999,-99.062937640000001
2016-07-13 08:00:00,2,19.53285743,-99.026089089999999
2016-11-23 08:00:00,2,19.438530289999999,-99.179562869999998
2016-12-08 08:00:00,2,19.235243100000002,-99.098382619999995
2017-06-02 08:00:00,2,19.477765439999999,-99.094102759999998
2016-11-19 08:00:00,2,19.3309183,-99.069829499999997
2017-05-18 08:00:00,2,19.603411600000001,-99.027880400000001
2017-05-25 08:00:00,2,19.267688379999999,-99.211323460000003
2017-06-22 08:00:00,2,19.47782415,-99.094029460000002
2017-07-06 08:00:00,2,19.478043589999999,-99.093647779999998
2017-07-04 08:00:00,2,19.477597710000001,-99.139276679999995
2016-07-07 08:00:00,2,19.366831059999999,-99.205023960000005
2017-05-24 08:00:00,2,19.302696860000001,-99.244292700000003
2017-05-24 08:00:00,1,19.460571309999999,-99.193907870000004
2017-05-24 08:00:00,1,19.462603349999998,-99.195824790000003
2016-07-08 08:00:00,1,19.380544969999999,-99.203465629999997
2016-07-09 08:00:00,1,19.381418400000001,-99.202709679999998
2016-07-12 08:00:00,1,19.3812748,-99.202790539999995
2016-07-13 08:00:00,1,19.380657320000001,-99.203674660000004
2016-07-13 08:00:00,1,19.38075873,-99.203440659999998
2017-07-04 08:00:00,1,19.485289359999999,-99.134698740000005
2017-07-04 08:00:00,1,19.488283559999999,-99.126562820000004
2017-07-04 08:00:00,1,19.615779939999999,-99.040576819999998
2017-07-04 08:00:00,1,19.626690079999999,-99.079218789999999
2017-07-05 08:00:00,1,19.271990250000002,-99.152049820000002
2017-07-05 08:00:00,1,19.296877259999999,-99.149915699999994
2017-07-05 08:00:00,1,19.301420610000001,-99.140853899999996
2017-07-05 08:00:00,1,19.325375279999999,-99.138790850000007
2017-07-05 08:00:00,1,19.358535119999999,-99.086504590000004
2017-07-05 08:00:00,1,19.361180560000001,-99.076348460000006
2017-07-05 08:00:00,1,19.361274819999998,-99.075951169999996
2017-07-05 08:00:00,1,19.36131936,-99.076156479999995
2017-07-05 08:00:00,1,19.406677219999999,-99.156804949999994
2017-07-05 08:00:00,1,19.406696549999999,-99.156808339999998
2017-07-05 08:00:00,1,19.429923980000002,-99.162851459999999
2017-07-05 08:00:00,1,19.450483760000001,-99.123029259999996
2017-07-05 08:00:00,1,19.460488510000001,-99.194127109999997
2017-07-05 08:00:00,1,19.463812269999998,-99.149123720000006
2017-07-05 08:00:00,1,19.47458804,-99.096018979999997
2017-07-06 08:00:00,1,19.27213446,-99.152699409999997
2017-07-06 08:00:00,1,19.302107639999999,-99.139795340000006
2017-07-06 08:00:00,1,19.329222680000001,-99.253454000000005
2017-07-06 08:00:00,1,19.34528551,-99.229693949999998
2017-07-06 08:00:00,1,19.34561046,-99.223286389999998
2017-07-06 08:00:00,1,19.37553797,-99.020758860000001
2017-07-06 08:00:00,1,19.406601859999999,-99.15737
2017-07-06 08:00:00,1,19.406663850000001,-99.156827340000007
2017-07-06 08:00:00,1,19.464163039999999,-99.195918980000002
2017-07-06 08:00:00,1,19.504379700000001,-99.196143359999994
2017-07-07 08:00:00,1,19.451145570000001,-99.120438129999997
2017-07-07 08:00:00,1,19.461469569999998,-99.195004639999993
2017-07-07 08:00:00,1,19.477685340000001,-99.094082270000001
2017-07-08 08:00:00,1,19.406878500000001,-99.155263399999995
2017-07-08 08:00:00,1,19.406980239999999,-99.155241340000003
2017-07-08 08:00:00,1,19.467895840000001,-99.082507190000001
2017-07-08 08:00:00,1,25.75296449,-108.985069
2017-07-09 08:00:00,1,19.244249079999999,-98.858703329999997
2017-07-09 08:00:00,1,19.262906000000001,-98.836329759999998
2017-07-09 08:00:00,1,19.30426649,-99.125205589999993
2017-07-10 08:00:00,1,19.302266700000001,-99.140230000000003
2017-07-10 08:00:00,1,19.331456859999999,-99.209776939999998
2017-07-10 08:00:00,1,19.345206000000001,-99.181043979999998
2017-07-10 08:00:00,1,19.345434300000001,-99.222602010000003
2017-07-10 08:00:00,1,19.345932810000001,-99.223610719999996
2017-07-10 08:00:00,1,19.345969700000001,-99.223411650000003
2017-07-10 08:00:00,1,19.347867149999999,-99.216542430000004
2017-07-10 08:00:00,1,19.36188786,-99.077587789999995
2017-07-10 08:00:00,1,19.400383120000001,-99.174285859999998
2017-07-10 08:00:00,1,19.40668196,-99.156811020000006
2017-07-10 08:00:00,1,19.462366769999999,-99.196788220000002
2017-07-10 08:00:00,1,19.462482210000001,-99.195609939999997
2017-07-11 08:00:00,1,19.272305280000001,-99.153300729999998
2017-07-11 08:00:00,1,19.274972869999999,-99.186082260000006
2017-07-11 08:00:00,1,19.354762749999999,-99.081078689999998
2017-07-11 08:00:00,1,19.361302980000001,-99.075864139999993
2017-07-11 08:00:00,1,19.461351010000001,-99.196500139999998
2017-07-11 08:00:00,1,19.46222397,-99.196206570000001
2017-07-11 08:00:00,1,19.463188219999999,-99.195086040000007
2017-07-11 08:00:00,1,19.47770658,-99.094020029999996
2017-07-11 08:00:00,1,19.477882470000001,-99.093891549999995
2017-07-12 08:00:00,1,19.271601619999998,-99.150652570000005
2017-07-12 08:00:00,1,19.271966949999999,-99.152113409999998
2017-07-12 08:00:00,1,19.301634759999999,-99.139787530000007
2017-07-12 08:00:00,1,19.462410420000001,-99.196183149999996
2017-07-12 08:00:00,1,19.477728030000002,-99.093936819999996
2017-07-13 08:00:00,1,19.316646240000001,-99.252090629999998
2017-07-13 08:00:00,1,19.42905258,-99.1409223
2017-07-13 08:00:00,1,19.4618064,-99.196930129999998
