Nombre_Carretera,Cantidad_Viajes
Calle Chilpa,6
Calle Villa Frontera,6
Cerrada Primera 11 de Abril,6
Calle Carolina,6
Avenida Canal de Chalco,6
Avenida Gobernadora,6
Calle Lago Mask,6
Andador 3,5
Privada Retorno Bosques de Siria,5
Calle B,5
Calle Río Ródano,5
Calle Bajada Capulín,5
Calle América,5
Calle Trébol,5
Calle General Prim,5
Calle Paseo de las Trojes,5
Circuito Exterior,5
Calle Licenciado David Pastrana James,5
Calle Manuel Carpio,5
Calle Juan Sánchez Azcona,5
Calle Sur 27,5
Calle Indiana,5
Calle Jabalí,5
Avenida Guelatao,5
Calle Durazno,5
Calle Jalisco,5
Segunda Privada 11 de Abril,5
Calle Campo Florido,5
Calle Xóchitl,5
Andador Quinto Aztecas,5
Calle General Francisco Murguía,5
Calle Río Amazonas,5
Cerrada San Pablo,5
Calle Doctor Agustín Andrade,5
Calle Ramón I. Aldama,5
Calle Chopo,5
Avenida Diagonal San Antonio,5
Constituyentes Héctor Victoria,5
Carretera San Mateo Tlaltenango-Santa Rosa Xochiac,5
Retorno 201,5
Calle 17,5
Andador 4,5
Calle Papaloteca,5
Transbordo intermodal MB 416 Poniente - TB,5
Calle Puerto México,5
Calle Sur 81,5
Cerrada San Antonio,5
Calle Lirios,5
Alameda Central,5
Avenida 1º de Mayo,5
Avenida Taxímetros,5
Calle La Castañeda,5
Calle Caoba,5
Calle Paloma Roquiza,5
Calzada de las Brujas,5
Cerrada Blanco,5
Calle Pastores,5
Calle Cuitláhuac,5
Calle Montiel,5
Avenida Francisco Villa,5
Calle Soto,5
Calle Norte 9,5
Avenida Sauzales,5
Calle Golfo de San Lorenzo,5
Avenida Emperadores,5
Calle Capitán Piloto Aviador Carlos León,5
Calle Flor de Lis,5
Av. Álvaro Obregón,5
Calle Agustín González de Cossio,5
Calle Pedro Romero de Terreros,5
Calle Amapola,5
Calle Acayucan,5
Avenida Milán,5
Calle Zaragoza,5
Calle Egipto,5
Calle Asistencia Pública,5
Transbordo intermodal MB Gran Canal - TB,5
Calle Tapicería,5
Calle Eugenia,5
Calle Bajío,5
Circuito Cultural,5
Calle Río de los Remedios,5
Avenida Francisco Morazán,5
Calle Chicoasén,5
Calle Magnolias,5
Calle Encomenderos,5
Anillo Periférico Canal de Garay,5
Norte 3,5
Calle Miquihuana,5
Calle Schiller,5
Avenida Nueva Xochimilco-Tulyehualco,5
Tercer Callejón Constitución,5
Jesús Galindo y Villa,5
Avenida Maestro Rural,5
Lateral Santa Lucía,5
Calle Alfonso Toro,5
Calle Mar Mediterráneo,5
Calle Jesús María,5
Calle Emmanuel Kant,5
Ferrocarril Río Frío,5
Calle Dalias,5
Calle Lamartine,5
Calle Lago Bolsena,5
Calle Trueno,5
Andador Cuautla,5
Calzada de los Corceles,5
Calle Río Chico,5
Calle Rancho El Recoveco,5
Calle Jacobo Watt,5
Andador Segundo Gerona,5
Avenida Río de la Piedad,5
Calle Sevilla,5
Calle Tintoreto,5
Avenida 11,5
Calle Rosa de Castilla,5
Calle Cadereyta,5
Avenida San Juan,5
Calle Á. de Bondone Giotto,5
Circuito Deportivo,5
Avenida Revolución Social,5
Calle Sidar y Rovirosa,5
Calle Benvenuto Cellini,5
Michoacán,5
Calle Berlín,5
Carretera Tenayuca-Chalmita,5
Calle Anaxágoras,5
Calle Catarroja,5
Calle Jorge Washington,5
Segunda Cerrada Higuera,5
Plaza de la República,5
Calle Sebastián de Aparicio,5
Calle Guanajuato,5
Calle 25 de Enero de 1857,5
Circuito Gómez Farías,5
Avenida Tesoro,5
Calle Charruas,5
Calle Campo Moluco,5
Calle Duraznos,5
Doctor Gálvez,5
Calle 39,5
Calle Bandera,5
Calle Rodríguez Saro,5
Calle Norte 1,5
Andador Margaritas,5
Callejón del Diablo,5
José Peón Contreras,5
Calle Oriente,5
Navidad,5
Calle Norte 85,5
Calle Glorieta Sur,5
Privada Francisco I. Madero,5
Marcos Brunel,5
Calle Ignacio Comonfort,5
Calle José del Castillo,5
Calle Emilia Romero de Valle,5
Calle Zempoala,5
Calle Ahuatla,5
Calle 71,5
Calle Canalito,5
Carretera México-Cuernavaca,5
Calle Ferrocarril Interoceánico,5
Calle Iztaccihuatl,5
Calle Lago Poniente,5
Avenida Eugenia,5
Calle 10 de Mayo,5
Avenida Bucareli,5
Calle Pachuca,5
Payta,5
Avenida Parque Lira,5
Calle Mariano Matamoros,5
Transbordo intermodal MB Hospital General La Villa - TB,5
Avenida José López Portillo,5
Calle Subteniente Mario Fernando López Portillo,5
Calle Coronel Lino Merino,5
Avenida Noé,5
Calle Flor de Canela,5
Calle del Trabajo,5
Avenida La Turba,5
Calle Nardo,5
Calle Tlacoquemécatl,5
Primera Cerrada Aztecas,5
Calle Vulcanización,5
Calle Pátzcuaro,5
Calle Emilio Portes Gil,5
Calle Luis Donaldo Colosio,5
Avenida Santa María La Purísima,5
Calle Culiacán,5
Calle Paseo Antioquía,5
Calle Cádiz Sur,5
Calle 15,5
Calle Libertad,5
Avenida Mario Colín,5
Calle Oriental,5
Privada Salvador Sánchez Colín,5
Calle Granada,5
Cerrada Durazno,5
Cerrada Cruz Blanca,5
Calle Abraham González,5
Privada 5 de Mayo,5
Calle Revolución Social,5
Calle Principal,5
Calle Constituyentes de 1917,5
Boulevard de los Guerreros,5
Cerrada Tercera Aztecas,5
Privada Segunda Norte 10,4
Calle Acueducto San Gregorio Atlapulco,4
Calle Yobaín,4
Mártires de la Conquista,4
Calle de la Rosa,4
Calle Condominio C-20,4
Calle Central Pintores,4
Cerrada Los 5 Halcones,4
Carretera México-Pachuca,4
Gabriel Ramos Millán,4
Avenida Ticomán,4
Boulevard Toluca,4
Calle San Gonzalo,4
Avenida Planicie,4
Calle Girasol,4
Calle Alcatraz,4
1ª Cerrada Miguel Hidalgo,4
Calle Flamencos,4
Calzada de San Agustín,4
Avenida Canoa,4
Calle Luis Moya,4
Calle Aurora,4
Calle Cometa,4
Avenida Antonio Ancona,4
Calle Sol,4
Calle Fresnillo,4
Cerrada Retorno 50,4
Calle Cerro de la Estrella,4
Capitán Piloto Aviador Carlos León,4
Calle Saltillo,4
Cerrada José Vasconcelos,4
Calle Aerolito,4
Calle Villa Fruela,4
Calle López,4
1ra Cerrada de Monzón,4
Cerrada la Soledad,4
Viaducto Bicentenario,4
Calle Maple,4
Privada Mar del Norte,4
Avenida Fabián Flores,4
Calle Juan de la Barrera,4
Calle Santiago Rebull,4
Calle Norte 25,4
Calle Hilario Pérez de León,4
Calle Saturnino Herrán,4
Calle Texas,4
Avenida Gabriel Ramos Millán,4
Avenida Repúblicas,4
Calle Retama,4
Calle Maguey,4
Andador B,4
Calle Jerusalén,4
Calle Tláloc,4
Cerrada Estacionamiento,4
Calle Rancho Guadalupe,4
Calle Río Cuauhtémoc,4
Calle San Antonio Tomatlán,4
Calle Florencia,4
Calle Francisco Sarabia,4
Transbordo Buenavista,4
Calle Pelícano,4
Calle Poza Rica,4
Calle Niños Héroes,4
Privada Arpía,4
Calle Sur 113 A,4
Calle Plomeros,4
Calle Manuela Cañizares,4
Andador Aztecas,4
Avenida Juan Álvarez,4
Calle Tlacotalpan,4
Doctor Pasteur,4
Transbordo Intermodal Salto del Agua-TB,4
Calle Juana de Arco,4
Anden G,4
Trabajadores Sociales,4
Explanada de la Alcaldía La Magdalena Contreras,4
Calle General Sóstenes Rocha,4
Avenida José Antonio Alzate,4
Avenida Cobalto,4
Calle Galicia,4
Avenida General Pedro Antonio de los Santos,4
Calle Antonio M. Anza,4
Calle General Anaya,4
Calle Acuario,4
Cerrada Acatitla,4
Calle Paseo Nuevo,4
Cerrada Dalia,4
Avenida Recursos Hidráulicos,4
Cerrada Segunda Emiliano Zapata,4
1ra Privada,4
Sebastián del Piombo,4
Calle Macedonio Alcalá,4
Avenida Guadalupe,4
Calle Mercado,4
Calle Cipreses,4
Calle Felipe Ángeles,4
Calle Charco Azul,4
Calle San Ramón,4
Calle Escuadrón 201,4
Calle Teniente Héctor Espinosa Galván,4
Calle Comunal,4
Calle Río Grande,4
Calle del Rastro,4
Calle Zoltan Kodaly,4
Prolongación Paseo de la Reforma,4
Avenida Economía,4
Calle Reforma Aeronáutica,4
Avenida Emilio Castelar,4
Calle Bahía San Cristóbal,4
Calle Cerezo,4
Privada San Pablo,4
Calle Islas de Revillagigedo,4
Calle Plan Sexenal,4
Privada de las Bombas,4
Calle Sur 73,4
Calle Rafaél Checa,4
Avenida San Pablo Xalpa,4
Calle Licenciado Francisco Benítez,4
Calle Juárez,4
Cerrada de las Torres,4
Calle Doctor Lavista,4
Cerrada Antonio Maceo,4
Calle Narciso Mendoza,4
Cuarta Cerrada Higuera,4
Andador 2 Higuera,4
Calle Porfirio Díaz,4
Calle Tlahuiltepetl,4
Calle Sombrerete,4
Autopista México - Pachuca,4
Anden F,4
Calle Popolna,4
Calle Hacienda Santa Cecilia,4
Calle Enrique Rébsamen,4
Calle Golda Meir,4
Avenida 22 de Febrero,4
1er Retorno de Canal Nacional,4
Calle 47,4
Calle Bosque de Inglaterra,4
Calle Encino,4
Monte Real,4
Calle Sur 20,4
Calle Sindicalismo,4
Avenida Palmitas,4
Calle Dinamarca,4
Paseo Campo Marte,4
Calle Monte de las Cruces,4
Circuito 13 Simón Bolívar,4
Periférico Boulevard Manuel Ávila Camacho,4
Calle Juan Antonio Mateos,4
Macrolibramiento Mexiquense,4
Calle Bahía del Espíritu Santo,4
Calzada Ignacio Zaragoza,4
Begonia,4
Avenida Paseo Bosque de la Reforma,4
Avenida Cerro de las Torres,4
Callejón Ojo de Agua,4
Cerrada Cuarta,4
Calle Guerrero,4
Transbordo Salto del Agua,4
Avenida de los Leones,4
Avenida de los Maestros,4
Calle Nuevo León,4
Carretera México-Texcoco,4
Prolongación Francisco I. Madero,4
Sector 10,4
Calle Nivel,4
Cerrada Segunda Hidalgo,4
Cerro de Churintzio,4
Calle Oyamel,4
Calle José María Correa,4
Avenida Circuito Colinas,4
Calle Tulipanes,4
Calle Azahares,4
Calle Almoloya,4
Calle 30,4
Cerrada del Triunfo,4
Calzada Peatonal Chivatito,4
Callejón Ciprés,4
Calle General Raúl Herrera,4
Calle Santa Rosa,4
Privada Santiago Valverde,4
Calle Alberto Branif,4
Andador 20,4
Calle Bochil,4
Avenida Noche de Paz,4
Circuito Lomas de Plateros,4
Avenida Renato Leduc,4
Calle Virginia,4
Calle Citlaltépetl,4
Calle Ejido San Antonio,4
Calle Presa,4
Andador 3 Higuera,4
Calle José Antonio Torres,4
Calle Akil,4
Avenida Santiago,4
Tixmehuac,4
Glorieta Santander,4
Avenida Nacional,4
Calle Rodrigo Cifuentes,4
Calle Jerez,4
Privada Alfonso Cárdenas,4
Casa de la Moneda,4
Callejón Las Flores,4
Calle Mina de Plata,4
Calle Peluqueros,4
Calle Paloma Zurita,4
Avenida Simón Bolívar,4
Calle Año 1325,4
Calle Plan de Guadalupe,4
Avenida Thiers,4
Privada 6ª Francisco I. Madero,4
Calle México-Pachuca,4
Calle San Pedro,4
Cerrada Michoacán,4
Avenida 3-A,4
Calle Tepic,4
Calle Huixtla,4
Privada E,4
Calle Flores Magón,4
Calle Álamos,4
Calle Antonio Maceo,4
Calle José María Roa Bárcenas,4
Calle Arquitecto Carlos Lazo,4
Calle Sur 109 A,4
Avenida Dálias,4
Calle Antonio Sola,4
Calle Viena,4
Calle Tetlalpa,4
Camino Puerto Ceguayo,4
Calle Villa de la Fuente,4
Calle Ibis,4
Calle San Miguel,4
Calle Alfredo Chavero,4
Calle Noche Buena,4
Calle Estado de Durango,4
Callejón San Marcos,4
Calle Palmera de Azúcar,4
Calle Crisantemos,4
Calle Úrsulo Galván,4
Callejón 11 Luis Cabrera,4
Calle Francia,4
Calle Ahuatitla,4
Calle California,4
Calle Monte Tabor,4
Calle Momax,4
Calle Juan E. Hernández y Dávalos,4
Calle Rancho San Mateo,4
Avenida Prolongación Chimalhuacán,4
Calle Augustin Delgado,4
Cerrada Rosa China,4
Calle Central,4
Andador 4º Ejido,4
Cerrada Adolfo López Mateos,4
Prolongación 5 de Mayo,4
Calle Antonio Rojas,4
Calle José Sotero Castañeda,4
Calle Sierravista,4
Calzada de la Mónera,4
Cerrada Ernesto Pugibet,4
Calle 30 de Junio de 1520,4
Calle Lebrija,4
Calle Norteños,4
Calle Paraíso,4
Mexibús Línea 01,4
Calle Río Blanco,4
Calle Xicoténcatl,4
Calle Mateo Herrera,4
Calle Petirrojos,4
Calle Carrizal,4
Calle Cascada,4
Calle Sur 103,4
Calle Alpes,4
Calle Campaña del Ébano,4
Calle Playa Caleta,4
Calle Romero,4
Calle Lago Chalco,4
Avenida Vito Alessio Robles,4
Calle Santiago Valverde,4
Calle Maizales,4
Calle General Aristas,4
Avenida Excelsior,4
Calle Escorpena,4
Calle Epigmenio Ibarra,4
Avenida Ferrocarril de Cuernavaca,4
Calle Canutillo,4
Calle Adalberto Tejeda,4
Anden E,4
Circuito Río Acaponeta,4
Calle Juan Cristomo Bonilla,4
Av. de las Torres,4
Boulevard Ejército Mexicano,4
Calle Huauchinango,4
Calle Diligencias,4
Calle José María Velasco,4
Avenida Industria Militar,4
Calle Alfredo de Musset,4
Carretera Federal México-Pachuca,4
Calle Ruiz Cortines,4
Andador 6,4
Carretera San Bernardino - Tepexpan,4
Callejón San Diego,4
Cerrada Plumbago,4
Calle Regina,4
Calle de Parras,4
Calle Lago Muritz,4
Calle Doctor Miguel Francisco Jiménez,4
Calle Rey Topiltzin,4
Calle Ejido San Miguel Xicalco,4
Avenida del Imán,4
Avenida Ciudad Universitaria,4
Calle Mesones,4
Privada Cañada,4
Calle Callao,4
Calle Aquiles Serdán,4
Calle Manuel Gutiérrez Nájera,4
Calle Tomás Alva Edison,4
Calle Gutenberg,4
Corrido del Norte,4
Calle Curie,4
Calle Lomas Quebradas,4
Calle Alfredo Tennyson,4
Calle Real Mayorazgo,4
Calle Mocorito,4
Cerrada Segunda Ameyuca,4
Calle Huexotitla,4
Calle San Rafaél Atlixco,4
Calle Valladolid,4
Calle Astrónomos,4
Avenida José María Morelos y Pavón,4
Avenida Gustavo Díaz Ordaz,4
Cerro de las Torres,4
Calle Juan de Dios Arias,4
Calle Lapislázuli,4
Calle Guadalupe,4
Cuarta Cerrada Aztecas,4
Calle Ohio,4
Calle F,4
Calle Hacienda Mazatepec,4
Calle Prado,4
Privada Azalea,4
Calle Sección Chinampas,4
Calle Pennsylvania,4
Calle Paloma Torcaz C,4
Calle 23,4
Calle Esteban Coronado,4
Avenida José A. Clave,4
Línea 10,4
Calle Faisanes,4
Avenida Zacatépetl,4
Calle Alabama,4
Cerrada Lirio,4
Luis Covarrubias,4
Calle Zacatlán,4
Cerrada Gardenia,4
Transbordo Intermodal Metro Hidalgo,4
Monte Encino,4
Calle Tekal,4
Calle Narcisos,3
Calle Enrique Ibsen,3
Cerrada Cuarta de Encino,3
Calle Hojalatería,3
Avenida 506,3
Calle Lago Poo,3
Calle Norte 16,3
Calle Sisal,3
Calle Nebraska,3
Calle Apicultura,3
Calle Condesa,3
Carretera a Topilejo,3
Calle José María Vigil,3
Prolongación Lerdo,3
Calle Venus,3
Calle Porto Alegre,3
Andador Tercer Emiliano Zapata,3
Calle General Manuel F. Loera,3
Avenida Pie de la Cuesta,3
Calle Rosa China,3
Cerrada Primera Emiliano Zapata,3
Calle Lago Constanza,3
Privada Estacionamiento,3
Calle Norte 64-A,3
Camino Real,3
Calle Cahitas,3
Calle Teniente Fausto Vega Santander,3
Calle Escuadra,3
Calle Agricultores,3
Cerrada Tercera del Sur,3
Licenciado Lázaro Pavia,3
Privada Reina Xóchitl,3
Calle Hacienda de San Nicolás Tolentino,3
Calle Diego Rivera,3
Calle Ignacio Aldama,3
Calle José Luis Cuevas,3
Cerrada San Agustín,3
Calle Vértiz,3
Loma Altavista,3
Calle Fray Juan de Zumárraga,3
Calle Deodato,3
Calle Manríquez,3
Andador David Alfaro Siqueiros,3
Cerrada Segunda Cerrada Miguel Hidalgo,3
Boulevard de la Luz,3
Privada Antonio Maceo,3
Calle Reina Xóchitl,3
Calle Gumersindo Esquer,3
Calle Rey Maxtla,3
Calle Norte 66,3
Entrance to WTC Public Parking,3
Calle Villa Campa,3
Pomona,3
Cerrada Primera La Mira,3
Avenida Canal de Apatlaco,3
Calle Almorejos,3
Calle Sabiduría,3
Retorno 38 de Avenida del Taller,3
Avenida Santa Fe,3
Avenida San Felipe,3
Calle Nápoles,3
Calle Chontales,3
Privada Miguel Hidalgo,3
Calle Kinchil,3
Circuito Santa Teresa,3
Cerrada 2º Miguel Hidalgo,3
Calle Juan Cousin,3
Avenida La Purísima,3
2da Cerrada de Orquídeas,3
Calle San Francisco Figuraco,3
Calle Pablo L. Rivas Martínez,3
Prolongación 1,3
Prolongación 16 de Septiembre,3
Calle Enrique Contel,3
Calle Francisco Petrarca,3
Calle Chocolín,3
Calle Licenciado Benito Juárez,3
Calle Agustín Manuel Chávez,3
Avenida 685,3
Calle Federación Mexicana de Futbol Asociación,3
Avenida de las Américas,3
Cádiz Norte,3
Calle Orión,3
Calle Delia,3
Calle Cofre de Perote,3
Calle Río Ebro,3
Paseo Unión Europea,3
Andador Primer Aztecas,3
Calle Malinche,3
Calle Coscomate,3
Puerto Morelos,3
Cerrada Lago Athabasca,3
Avenida 521,3
Calle Natal Pesado,3
Calle Pedro Ramírez del Castillo,3
Avenida de las Rosas,3
Calle Cruz del Sur,3
Calle Oriente 164,3
Calle Gobernador Rafaél Rebollar,3
Privada Guerrero,3
Calle San Ignacio,3
Calle Alfonso Herrera,3
Calle Rancho de la Herradura,3
Calle Macedonia,3
Calle Tepozán,3
Calle Vicente Navarro,3
Privada de la Presa,3
Glorieta de los Insurgentes,3
Calle Canal,3
Calle Cerro de San Andrés,3
Calle Sur 107,3
Calle Rubén Darío,3
Calle Sierra Mojada,3
Calle Mirasol,3
Calle Mariposas,3
Cerrada Ojo de Agua,3
Calle Antonio Rodríguez,3
Calle Albatros,3
Calle José Tomás Cuéllar,3
Camino Real a Contreras,3
Calle Tonatico,3
Cerrada Campanillas,3
Calle Forestal,3
Peatonal Adolfo Ruiz Cortines,3
Calle Hermanos Wright,3
Calle Puerto Veracruz,3
Avenida Río Rhin,3
Calle Manuel Gutiérrez Zamora,3
Circuito Bahamas,3
Peatonal San Jerónimo,3
Calle General Juan Enríquez,3
Calle 37,3
Calle General José María Mendívil,3
Calle Tekax,3
Calle Cerro de Jesús,3
Calle Carretones,3
Calle Palenque,3
Cerrada Perpetua,3
Calle Piaztic,3
Calle Cucurpe,3
Calle Virgilio,3
Calle Sur 21,3
Calle Santa Balbina,3
Calle Palmeral,3
Calle 1521,3
Ferrocarril de Cuernavaca,3
Calle Playa Encantada,3
Calle Framboyán,3
Avenida Del Trabajo,3
Calle Puente Xoco,3
Calle Rosa Carmesí,3
Calle Lago Maracaibo,3
Calle Baja California,3
Calle Perseo,3
Calle Cuautla,3
Avenida El Rosario,3
Calle Alcanfores,3
Calle Ures,3
Calle Cerrito,3
Avenida Tilo,3
Cerrada Sexta Hermenegildo Galeana,3
Calle Sur 105 A,3
Calle del Paso,3
Calle Pocitos,3
Calle Brigada Siete,3
Calle Claudio Bernard,3
Avenida Central Santa Clara,3
Calle 69,3
Calle Avena,3
Calle Mayorazgo de la Higuera,3
Calle Isidro García,3
Calle Rubens,3
Calle Abasolo,3
Calle Río Churubusco,3
Calle Agustín de Iturbide,3
Calle Sur 107 A,3
Calle Mina de Diamante,3
Calle Ingeniería,3
Geógrafos,3
Calle Paseo Galias,3
Retorno 36 de Licenciado Genaro García,3
Pasaje América,3
Calle Hampolol,3
Calle Tuxpan,3
Calle Chiclayo,3
Calle Arboleda,3
Calle Texcatl,3
Privada 1 Rosario Castellanos,3
Puerto Peñasco,3
Avenida Europa,3
Calle Escuela Médico Militar,3
Calle Rancho de los Arcos,3
Calle El Correo del Sur,3
Calle Huichapan,3
Calle Lago Izabal,3
Calle Doctor Mariano Azuela,3
Privada Rosaleda,3
Avenida Coconetla,3
Calle Mártires de la Conquista,3
Privada Mariano Abasolo,3
Calle Petunias,3
Calle Albarrada,3
Calle Roble,3
Avenida Sor Juana Inés de la Cruz,3
Cerrada de Capulín,3
Avenida Gran Canal,3
Calle Pescaditos,3
Calle Vicam,3
Plazuela 19 de Avenida Plaza Aragón,3
Prolongación Las Torres,3
Calle Floresta,3
Avenida Libertadores De América,3
Calle Cerro del Risco,3
Leyes de Reforma,3
Calle Puente de Santo Tomás,3
Avenida José del Pilar León,3
Calle Golfo de Campeche,3
Calle Mauritania,3
Calle Ingenieros,3
Calle Toledo,3
Callejón San Ignacio,3
Calle la Joya,3
Callejón de Tenería,3
Calle Licenciado Castillo Ledón,3
Avenida Buenavista,3
Calle Contralores,3
Calzada San Isidro Tecpatl,3
Calle Ejidal,3
Entrada Ibero,3
Calle Diagonal Minas,3
Calle Fragonard,3
Calle Asunción,3
Calle Lago Zirahuen,3
Juana de Arco,3
Calle Tolsá,3
Calle Iturbide,3
Calle Centeno,3
Avenida Magdalena,3
Avenida Prados Del Sur,3
Privada Emiliano Zapata,3
Calle Vía Doctor Gustavo Baz Prada,3
Calle Naranjo,3
Calle Adriano Brower,3
Calle Trípoli,3
Cerrada Palmas,3
Calle Acolman,3
Cerrada Claudio Arciniega,3
Calle Riff,3
Callejón Capulines,3
Sendero Compartido Reforma,3
Calle San José,3
Calle México,3
Cerrada Miquihuana,3
Transbordo San Juan de Letrán,3
Avenida Presidente Juárez,3
Cerrada Tercera 19 De Febrero,3
Privada Mar Mediterráneo,3
Calle Sur 77,3
Calle González Ortega,3
Calle Balderas,3
Calle Rafaél Ángel de la Peña,3
Pachuca - Túxpam,3
Calle Samahil,3
Avenida Genaro Estrada,3
Calle Los Ángeles 1932,3
Cerrada Torres,3
Calle Lago Cuitzeo,3
Avenida Horacio,3
Vidal Alcocer,3
Calle Bosques de Abedules,3
1a Cerrada de la Concepción,3
Calle Nadadores,3
Avenida Escuinapa,3
Calle Nunkini,3
Calle 1 Jesús Rodríguez,3
Calle Grabados,3
Calle Mine Planta,3
Calle Odesa,3
Calle Labradores,3
Calle General Miguel Alemán,3
Calle Juan Nepomuceno,3
Calle 16,3
Privada 1ª Víctor Rosales,3
Avenida Zacatepec,3
Calle Don Manuelito,3
Calle Canarias,3
Calle Órgano,3
Calle 10 de Junio,3
Calle General Salvador Alvarado,3
Calle Norte 64 A,3
Calle Pimentel,3
Calle Línea 4,3
Cerrada Francisco Villa,3
Avenida 12,3
Calle Ixcateopan,3
Avenida Tejocotes,3
Calle Luis González Obregón,3
Calle Rubén Jaramillo,3
Camino a San Lucas,3
Calzada Candelaria,3
Callejón Texcalpa,3
Calle Fuente de los Molinos,3
Calle Samula,3
Calle de los Albatros,3
Calle Adolfo Gurrión,3
Calle Puente de la Morena,3
Calle Talabarteros,3
4a. Cerrada de los Cedros,3
Cerrada Jesús Lecuona,3
Calle de los Petreles,3
Calle Chiapas,3
Calle Héroe de Nacozari,3
Calle Lerdo,3
Privada Norte 1-B,3
Retorno 204,3
Calle Hecelchakán,3
Calle Iglesias,3
Calle Rosales,3
Calle Lago Petén,3
Calle Villa Cedro,3
3ª Cerrada,3
Avenida Puerto Mazatlán,3
Calle Lago Aullagas,3
Privada Xochimilco Tulyehualco,3
Cerrada Álamo,3
Calle Gustavo Díaz Ordaz,3
Calle Porvenir,3
Calle General Pedro J. Méndez,3
Avenida Desierto de los Leones,3
Calle Bermudas,3
Calle Francisco D. Barriga,3
Avenida Paseo del Pedregal,3
Avenida Mexiquense,3
Calle Hacienda de Jiquilpan,3
Calle Cracovia,3
Lateral Norte Avenida del Taller,3
Calle Tabachin,3
Calle Decorado,3
Calle Medellín,3
Avenida Acueducto De Tenayuca,3
Calle Montes Urales,3
Calle Zapata,3
Calle Espuela,3
Calle Ventura G. Tena,3
Privada Pino,3
Calle Juventino Rosas,3
Calle Golfo de San Jorge,3
Cerrada Valencia,3
Calle Leona Vicario,3
Cerrada Segunda Cuauhtémoc,3
Calle Paseo de los Duraznos,3
Callejón Fresnos,3
Calle Río Tigris,3
Calle La Teja,3
Calle Ángel del Campo,3
Calle 20,3
Calle Claudio Arciniega,3
Calle Chimalhuacán,3
Calle Gran Canal,3
Calle 31,3
Calle Bosque de Olivos,3
Calle Carlos Benz,3
Calle Oriente 8,3
3ra. Cerrada Forestal,3
Plazuela 17 de Avenida Plaza Aragón,3
Avenida Talleres Gráficos,3
Calle Lirio,3
Sur 111,3
Calle Bosque,3
Calle Sadi Carnot,3
Privada Úrsulo Galván,3
Calle Real del Monte,3
Calle Ponciano Arriaga,3
Privada de Durazno,3
Calle Reynaco,3
Calle Mina,3
Cerrada Lourdes,3
Calle Calvario,3
Callejon del Pino,3
Calle Gitana,3
Calle Casas Grandes,3
Calle República de Guatemala,3
Calle Sur 127,3
Hule,3
Calle Linterna,3
Calle Perlitas,3
Calle Norte 29,3
Calle Morelia,3
Puente Televisa-Periférico,3
Calle Rancho San Miguel,3
Calle Ray-O-Vac,3
Avenida Ferrocarriles Nacionales,3
Avenida Ejército Nacional Oriente,3
Calle Esperanza,3
Calle Cruz Blanca,3
Calle Anillo de Circunvalación,3
Calle Monte de Piedad,3
Calle Puerto Ángel,3
Calle Río Hondo,3
Calle Luis Spota,3
Calle A,3
Calle del Río,3
Calle de Santiago Apóstol,3
Cerrada Azucena,3
Calle Plan de Tuxtepec,3
Manuel Payno,3
Calle Canela,3
3ª Cerrada de Bahía,3
Cerrada 14 de Febrero,3
Avenida José Clemente Orozco,3
Calle Robles,3
Avenida Iztaccíhuatl,3
Calle Monte Albán,3
Calle Añil,3
Andador Anselmo Surutuza,3
Calle Campo Gasoducto,3
Calle Fernando de Alva Ixtlilxóchitl,3
Calle Yunque,3
Avenida Caporal,3
Calle Cima,3
Calle Pirámide de la Luna,3
Calle Miguel Lerdo de Tejada,3
Calle Sudzal,3
Andador José Clemente Orozco,3
Cerrada Segunda Benito Juárez,3
Calle Presa Tacubaya,3
Avenida Mosqueta,3
Cuarta Cerrada del Sur,3
Calle Luis Zamora,3
Calle Paraje,3
Calle De Tonatiuh,3
Calle Virginia Fábregas,3
Privada Alondras,3
Calle Huatabampo,3
Plaza de Madrid,3
Calzada Reforma Agraria,3
Calle Diego Becerra,3
Calle Sur 105,3
Calle Oliver Goldsmith,3
Calle Pinos,3
Calle Francisco Ayala,3
Segunda Cerrada Zaragoza,3
Calle Norte 89-A,3
Calle Paso del Norte,3
Calle Santa Fe Milpa Alta,3
Los Pollitos,3
Calle La Era,3
Calle Estudios Churubusco,3
Calle Xotepingo,3
Morelos,3
Cerrada Primera Cuauhtémoc,3
Calle Cozumel,3
Avenida Rodolfo Gaona,3
Calle Gobernador José Ceballos,3
Autopista Naucalpan-Ecatepec,3
Calle Hacienda Coyotepec,3
Calle Observatorio Oriente,3
Calle Mercadela,3
Cerrada Doctor Gabino Fraga,3
Calle Hombres Ilustres,3
Prolongación Vicente Guerrero Sur,3
Caracas Norte,3
Privada 1ª de Escocia,3
Avenida Miguel Bernard,3
Calle Cristóbal Colón,3
Calle Sanctórum,3
Calle Samuel F. B. Morse,3
Calle Cobre,3
Cerrada Salamanca,3
24 de Abril,3
Calle 35,3
Retorno 7 de Cecilio Robelo,3
Calle Pablo Veronés,3
Avenida Antonio Valeriano,3
Eje Metropolitano Siervo de la Nación,3
Calle Mina de Antimonio,3
Calle Miguel E. Schultz,3
Calle 28 de Agosto,3
Calle Begonia,3
Doctor José Ignacio Bartolache,3
Calle Mariano Escobedo,3
Glorieta Cuitláhuac,3
Calle Gran Sur,3
Avenida Agricultura,3
Calle Puerto Marqués,3
Calle Norte 79 A,3
Avenida Amanecer Ranchero,3
Avenida 510,3
Poniente 75-A,3
