Nombre_Carretera,Cantidad_Viajes
Calle Tultitlán,26
Avenida Amsterdam,26
Calle Recreo,26
Avenida Circunvalación,25
Calle Necaxa,25
Camino Viejo a San Lorenzo,25
Calle Orizaba,25
Calle Lago Nicaragua,25
Avenida Andrés Molina Enríquez,24
Avenida Monterrey,24
Calle Violeta,24
Galicia,24
Calle Cumbres de Maltrata,24
Calle Isabel la Católica,24
Calle Tigre,24
Francisco del Paso y Troncoso,24
Avenida Jalisco,23
Calle Arboledas,23
Mexibús L4,23
Calle Málaga,23
Calzada del Hueso,23
Cerrada 1ª Bruselas,23
Calle Tejocotes,23
Avenida Miguel Othón de Mendizábal,23
Calle Campana,23
Paseo de las Jacarandas,23
Calle Puente Metlac,23
Avenida Río Cazones,23
Cerrada Miguel Hidalgo,23
Avenida Luis Echeverría Álvarez,23
Calle Ferrocarril de Cuernavaca,23
Calzada Legaria,23
Calle Primavera,22
Calle 3 de Mayo,22
Avenida Vasco de Quiroga,22
Boulevard Puerto Aéreo,22
Canal Río Churubusco,22
Avenida Adolfo López Mateos,22
Calle Salamanca,22
Calle 4,22
Calle Palmas,22
Calle Morelos,22
Andador Palomas,21
Avenida del Taller,21
Vía Morelos,21
Calle Quinta Margarita,21
Calzada Melchor Ocampo,21
Calle Sur 75 A,21
Calle Palmar,21
Calle Pitágoras,20
Calle Norte 92-A,20
Avenida Tenochtitlán,20
Calle Río Mixcoac Oriente,20
Avenida Medellín,20
Avenida José María Pino Suárez,20
Avenida de la Antigua,20
Avenida Hidalgo,20
Calle Hermenegildo Galeana,20
Calle Jazmín,20
Callejón Ignacio Zaragoza,20
Calle Halachó,20
Calle Atacameños,19
Calle 19 de Febrero,19
Calle Alfonso Reyes,19
Calzada de las Águilas,19
Calle Jacarandas,19
Calle Las Huertas,19
Calle 24,19
Calle Janitzio,19
Avenida Campos Elíseos,19
Avenida Telecomunicaciones,19
Avenida Santa Lucía,19
Avenida Fortuna,19
Calle Capuchinas,19
Avenida Pirules,19
Cerrada Lago Gascasónica,19
Prolongación División del Norte,19
Ecoducto Río de la Piedad,19
Calle Minería,19
Calle 10,19
Calle Magueyes,19
Calle Lago Amatitlán,18
Avenida Central Carlos Hank González,18
Calle Cali,18
Calle Río Becerra,18
Calle San Lorenzo,18
Calle Adolfo López Mateos,18
Calle Estrella,18
Calle Álvaro Obregón,18
Calle Flor del Campo,18
Calle Pípilos,18
Cerrada 5 de Mayo,18
Avenida Río Soto La Marina,18
Calle Patricio Sanz,18
Avenida Tamaulipas,18
Avenida Aztecas,18
Calle Bugambilia,18
Avenida Guadalupe I. Ramírez,18
Calle Guanábana,18
Avenida Juárez,17
Avenida San Rafaél Atlixco,17
Transbordo Intermodal Metro Miguel Ángel de Quevedo,17
Cerrada Madero,17
Calle Centenario,17
Calle Minerva,17
Calle Nezahualcóyotl,17
Avenida José María Izazaga,17
Calle Orquídea,17
Avenida Yuncas,17
Calle Gardenia,17
Calle Lago Esclavos,17
Calle Las Flores,17
Calle Valentín Gómez Farías,17
Gabriel Mancera,17
General Emiliano Zapata,17
Avenida José María Castorena,17
Avenida Presidente Plutarco Elías Calles,17
Calle Flor de San Juan,16
Cerrada Paseo de España,16
Avenida Cruz Blanca,16
Calle Tizimín,16
Calle Laguna de Términos,16
Avenida Manuel González,16
Calle Simón Bolívar,16
Calle Nopatitla,16
Calle Atlapulco,16
Calle Colina,16
Calle Ferrocarril San Rafaél Atlixco,16
Calle Niza,16
Calle Tepetlapa,16
Calle República de El Salvador,16
Calle Campeche,16
Calle Bruselas,16
Avenida Mazatlán,16
Calle Independencia,16
Circuito Río Mixteco,16
Avenida Texcoco,16
Avenida Manuel Acuña,16
Calzada Manuel Villalongín,16
Calle Felipe Villanueva,16
Canal de San Juan,16
Calzada Chivatito,16
Calle Glaciar,16
Calle Valencia,16
Calle Sor Juana Inés de la Cruz,16
Prolongación Guerrero,16
Calle Adolfo Prieto,16
Avenida Ricardo Flores Magón,15
Calle Azucena,15
Avenida Paseo de las Palmas,15
Segunda Cerrada Miguel Hidalgo,15
Avenida Maní,15
Calle 3,15
Anillo de Circunvalación,15
Avenida Prolongación División del Norte,15
Calle Tenosique,15
Calle Jalapa,15
Calle Ayuntamiento,15
Calle Darwin,15
Calle Oriente 157,15
Calle Begonias,15
Avenida Carlos Hank González,15
Avenida Cuitláhuac,15
Calle Huayatla,15
Avenida 608,15
Avenida Observatorio,15
Calle Nicolás Bravo,15
Calle Bélgica,15
Calle Sabino,14
Calle Tehuantepec,14
Calle La Morena,14
Calle Pirul,14
Avenida Copilco,14
Calle Cruz Verde,14
Calle Pasadena,14
Calle Allende,14
Avenida Río Mayo,14
Calle Veracruz,14
Avenida San Fernando,14
Cerrada Violeta,14
Antiguo Camino a los Reyes,14
Calle Verano,14
Calle Luz Saviñón,14
Avenida Río San Joaquín,14
Calle Julio Verne,14
Avenida Querétaro,14
Calle Astilleros,14
Avenida Carlos Lazo,14
Calle Doctor Claudio Bernard,14
Calle Batallones Rojos,14
Calle Elefante,14
Carretera La Venta - Chamapa (Cuota),14
Calle Olivos,14
Calle Rosa Trepadora,14
Boulevard Bosques de las Naciones,14
Calle Río Lerma,14
Calle Victoria,14
Calle Lago Superior,14
Cerrada Abasolo,14
De la Curva,14
Calle Membrillo,14
Avenida Acueducto de Guadalupe,14
Calle Margarita Maza de Juárez,14
Calle Alta Tensión,14
Calle Melchor Ocampo,14
Avenida Luis Méndez,13
Calle Corregidora,13
Cerrada Quinta Lago Gascasónica,13
Prolongación Arneses,13
Avenida Luis Hidalgo Monroy,13
Calle Moctezuma,13
Calle Coahuila,13
Avenida Trabajadores Sociales,13
Calle Rosario Castellanos,13
Calle Maestro Antonio Caso,13
Calle Tetiz,13
Calle Ocote,13
Calle España,13
Calle Liverpool,13
Avenida Pantitlán,13
Calle Salvador Díaz Mirón,13
Calle Guillermo Prieto,13
Río Churubusco,13
Avenida Pedro Henríquez Ureña,13
Calle 8 de Mayo,13
Calle Sonora,13
Calle Tabasco,13
Avenida Palmas,13
Avenida 20 de Noviembre,13
Lago Saima,13
Calle Santa Lucía,13
Avenida Canal del Norte,13
Avenida México-Coyoacán,13
Calle Alumnos,13
Calle Cedro,13
Calle Lago Ayarza,13
Calle Aldama,13
Avenida Doctor Río de la Loza,13
Calle Hidalgo,13
Calle 6,13
Calle Citilcún,13
Camino Viejo a Tulyehualco,13
Avenida Victoria Oriente,13
Calle Xosco,12
Calle Subida a San Bernabé,12
Camino Real de Toluca,12
Calle Sebastián Lerdo de Tejada,12
Calle Augusto Rodin,12
Circuito Escolar,12
Andandor 29 de Octubre,12
Avenida José María Morelos,12
Calle Sur 187,12
Calle Millet,12
Camino Viejo a Mixcoac,12
Cerrada del Carmen,12
Avenida Canal Nacional,12
Cerrada de Confiteras,12
Calle Doctor Ignacio Erazo,12
Calle Almanalco,12
Calle Francisco Villa,12
Calzada al Desierto de los Leones,12
Calle Barranquilla,12
Calle Lauro Aguirre,12
Calle Calkiní,12
Avenida Marcelino Buendía,12
Calle Acancéh,12
Cerrada Membrillo,12
Antonio Cánova,12
Calle Yautepec,12
Cerrada de la Presa,12
Calle Constitución,12
Calle 8,12
Calle del Pregonero,12
Calle 1,12
Avenida Ferrocarril de Cintura,12
Avenida San Francisco,12
Calle Colima,12
CETRAM 18 de Marzo,12
Calzada México-Xochimilco,11
Calle Laguna de Mayrán,11
Calle Andrés de la Concha,11
Avenida Río de Tacubaya,11
Calle José Martí,11
Calle Coronel Amado Camacho,11
Avenida Las Torres,11
Privada Tlaltempa,11
Prolongación Lago Nicaragua,11
Avenida Arcos de Belén,11
Calle José María Morelos y Pavón,11
Ciclopista Ferrocarril de Cuernavaca,11
Calle San Luis Potosí,11
Calle Doctor Ildelfonso Velasco,11
Calle Lago Tana,11
Calle Progreso,11
Calle La Celestina,11
Avenida Canal del Moral,11
Calle Juan Enrique Pestalozzi,11
Avenida 412,11
Calle Tonalá,11
Calle Agrarismo,11
Carretera a Santa Cecilia,11
Calle Hamburgo,11
Calle Cañada,11
Calle Sur 128,11
Calle Otoño,11
Cerrada 2ª Lea,11
Calle San Marcos,11
Ciclovía Compartida Guadalupe,11
Calle Manzanas,11
Avenida Oceanía,11
Andador 1 Aztecas,11
Calle Georgia,11
Calle Juan Francisco Millet,11
Calle 5,11
Avenida Xochimilco,11
Calle Ignacio Ramírez,11
Avenida 602,11
Boulevard De las Flores,11
Calle 16 de Septiembre,11
Calle La Paz,11
Avenida Diagonal Patriotismo,11
Calle Zacatecas,11
Calle Capilla,10
Avenida Vicente Villada,10
Avenida Antonio Díaz Soto y Gama,10
Calle 9,10
Calle Nogal,10
Calle de los Naranjos,10
Avenida Chiquihuite,10
Calle Constitución de la República,10
Calle Los Juárez,10
Privada Acatitla,10
Avenida Primero De Mayo,10
Calle Artificios,10
Avenida Ejido de San Francisco Culhuacán,10
Calle Loreto,10
Avenida Escuadrón 201,10
Calle Volcán Popocatépetl,10
Calle 12 de Octubre,10
Prolongación Miguel Lerdo de Tejada,10
Calle Xaxalpa,10
Avenida Emiliano Zapata,10
Avenida del Rosal,10
Calle Yuca,10
Cerrada Tercera Mirador,10
Avenida Cafetales,10
Calzada de los Misterios,10
Camino a Santa Teresa,10
Calle Sagredo,10
Calle Doctor Gálvez,10
Calle La Herradura,10
Avenida José Loreto Fabela,10
Calle Rabaúl,10
Calle Presa Reventada,10
Calle General Benjamín Hill,10
Calle Búfalo,10
Calle 12,10
Avenida Fernando Alencastre,10
Calle Holbein,10
Calle 13,10
Calle Las Torres,10
Avenida Jesús del Monte,10
Avenida Luis Manuel Rojas,10
Calle El Pidio Cortez,10
Prolongación Roa Béncenas,10
Calle Villa Corta,10
Calle Bahía de Santa Bárbara,10
Calle Lorenzo Boturini,10
Autopista Urbana Sur - Cuernavaca,10
Carretera Federal México-Toluca,10
Calle Teya,10
Calle Fernando Celada,10
Av Canek,10
Avenida Rómulo O'Farril,10
