Punto_Interes,Cantidad_Viajes
Módulo De Policía,6
H&M,6
Santa Clara,6
Julio,6
Chilakiller's,6
Clinica Del Carmen,6
Colegio De Estimulación Para El Desarrollo Integral,6
Fiebre de Malta,6
Porrua,6
Estafeta,6
Ecobici,6
La Gatorta,6
Citibank,6
Jardin De Niños Julian Adem,6
Centro de Documentación Francisco Gamoneda,6
Consultorio Medico Medicina Del Deporte,6
Toxic,6
FedEx Centro de Envío,6
Aquamatic,6
Sanatorio Durango,6
Ecobici José María Pino Suárez / Corregidora,6
Taquería Tlaquepaque,6
Ecobici Nuevo León / Quintana Roo,6
BanBajío,6
Trok's torta,6
Consultorio De Psicologia,6
Ostionería La Playa,6
Pollo Feliz,6
Consultorio Dental Castañeda,6
La Pasadita,6
Escuela Secundaria Diurna 279,6
Moda,6
La Cebolla Morada,6
C&A,6
Los Tacos,6
Museo Salón de Cabildos,6
Vapiano,6
Adidas,6
Dental Health,6
Azecta,6
Oxxo San Nicolas,6
Tortas Tavo,6
Quick Learning,6
VW San Ángel,6
Podologia Integralpodiasa,6
Peth Sin Nombre,6
P.F. Chang's,5
Ecobici #262 República de Cuba - República de Brasil,5
La Lavanderia,5
Cinemex Tezontle,5
La Michoacana,5
Multi farmacias,5
Unidad de Medicina Familiar 42 Cuajimalpa,5
Monona Roma,5
Neto Cuajimalpa,5
Cinépolis Oasis Coyoacán,5
Sandra,5
Ecobici Nuevo León / Laredo,5
Sanborns Café,5
Maison Kayser,5
Raiz,5
Pollos asados,5
Sumesa,5
Comida China,5
Taquería Pocho,5
Cielito Lindo,5
Olive Garden,5
Tierra Garat,5
B Store Pilares,5
Quentin,5
Café Jeke Emir,5
Farmacia de la Rosa,5
Santo Domingo,5
Charly,5
Premium Bike,5
Vancouver Wings,5
Aldo,5
Street-art,5
Sala Corona,5
El Portón,5
taqueria,5
La Casa de la Yeya,5
Toyota Fame Pedregal,5
Ecobici San Jerónimo / José María Pino Suarez,5
Domingo Santo Café,5
Taquearte,5
Café China III,5
Profesor Onofre Melendez B,5
Hotel California,5
Tienda de abarrotes,5
Centro Vlady,5
Escuela Primaria Xicotencatl Turno Vespertino,5
Hermenegildo Galeana,5
Sushitto,5
El Farolito,5
Super tacos de guisado,5
Embajada de Venezuela,5
Taquería El Negro,5
El Auténtico Pato Manila,5
farmacia del ahorro,5
Italian Taco,5
Kinder Colegio De Estimulación Para El Desarrollo Integral,5
Jekemil Café,5
Mistika,5
Clínica Hospital 8 IMSS,5
Revolución 67,5
la chicha,5
La Clandestina,5
Colegio Greenland,5
Italiannis,5
Medident,5
Órale Arepa,5
Café La Perla,5
Ryoshi,5
Metal Home Compra De Metales,5
Italianis,5
Max Tintorería,5
La Montejo,5
Jardin De Niños Republica De Kenia,5
Francisco Zarco,5
Al Kosto importadora,5
Farmacias Mexico,5
Azul Condesa,5
Correos de México San Angel,5
Banbajo,5
Churrería Porfirio,5
Celtics Pub Irlandés Polanco,5
Citibanamex,5
Chicken-Pollo,5
Domino's Pizza,5
Creadores de Bicis,5
Cafetería Sanborns,4
Salinas & Rocha,4
Blend Station,4
Origin Bike Lab,4
La esquina argentina,4
Clean & Drive,4
Juguetron,4
CI Banco,4
Boicot Café (Metropoli Patriotismo),4
Miguel Ramos Arizpe,4
Casi Lomas Quebradas,4
Mahakian Zapatos y Mochilas,4
Helado Obscuro,4
Ecobici 5 De Mayo / Bolívar,4
Farmacias Multigenericos,4
Colegio Karol Wojtyla,4
Baby Creysi Outlet,4
Mishka Perfumería,4
Arte callejero,4
San José,4
Fuente de Mixcoac,4
+Visión,4
Copacabanito,4
Cocco Bello,4
Artemisia,4
Tlahco,4
Actividad Dance,4
Feral,4
El Huarache Loco,4
Artesanía Margot,4
El deposito,4
Consultorio Genericos Y Similares,4
Consultorío Dental,4
Zocalo Rooms,4
Converse,4
Farmacia Medimart,4
Embler,4
Alcaldía La Magdalena Contreras,4
El Depósito,4
Consultorio Morelos,4
Ecobici #222 Alejandro Dumas - Presidente Masaryk,4
La Inmaculada,4
Consultorio De Podologia,4
Ferretería del Sur,4
Cielito Querido Café,4
4-ever,4
Cipriani,4
Café de la Selva,4
Juan Antonio de la Fuente,4
Leonardo Bravo,4
Crepes & Waffles,4
Gastronómica Restimex,4
Cnci Ajusco,4
Calle Madero,4
Centro De Asistencia Social Infantil Lomas Quebradas,4
Baby Bon,4
Grand Marchand,4
Mercado de Santa Cruz Alcalpixca,4
Cinemex Patriotismo,4
Gv Chapas,4
Comida callejera mexicana,4
Casa Rosalía,4
Buffete Chino Hui,4
Barrita,4
Han'ei,4
Lunarena Turkish coffee,4
Ecobici 20 de Noviembre / Venustiano Carranza,4
La Poblanita,4
Compartamos Banco,4
La esquina del té,4
Catamundi,4
Área de Atención Ciudadana,4
Hilaria Gastrobar,4
El Triunfo III,4
Hospital Materno Infantil Magdalena Contreras,4
Los Bisquets de Obregón,4
Dek,4
Librerías Gandhi,4
Casa de Oficios / YWCA,4
Arrival Gate 4,4
Extra Tesoro,4
Estética Laura,4
Guadalupe Victoria,4
Karani Art,4
Ecobici Ernesto Pugibet / Luis Moya,4
Sala Manuel Ponce,4
Centro Comunitario Comunidad De Los Pingos,4
Izakaya Sushi,4
Farmacia Del Angel,4
Hotel Centra2,4
La Europea,4
Colegio Keppler,4
broka,4
Plaza Vizcaínas,4
Restaurante 5M,4
Krispy Kreme,4
Espacio De Belleza Ara Garcia,4
Centro De Salud Lomas De Padierna,4
Ipp,4
Ecobici Huatabampo / Av. Cuauhtémoc,4
Usaer 22,4
Raku Café,4
Pinolo,4
GoMart,4
Enfance,4
Centro De Salud T 1 Pedregal De San Nicolas Norte,4
Juarez,4
Ecobici Tonalá / Durango,4
Venus de Medicis,4
Maison Artemisia,4
Quesadillas,4
León Guzmán,4
Tacos Don Manolito,4
Bósforo,4
Jugos Canada,4
Ecobici Vicente Suárez / Michoacán,4
Pollos Ray,4
Mambo,4
Playa Sabino,4
La Nueva Sevillana,4
Teatro Morelos,4
Banco de México,4
Taquería,4
Danubio,4
La Misma Vaca,4
Óptica "Visión 20 20",4
Pan Alta Fibra,4
Lupita,4
LMP Cuauhtemoc,4
Ecobici Gobernador Ignacio Esteva / Maestro José Vasconcelos,4
Taller Serra - Joyería Artesanal & Moda Desigual,4
Banco Santander,4
La Mansion,4
Un Rincon de Chile,4
OfficeMax,4
Fiesta Inn Centro Histórico,4
La cinco de mayo,4
Ecobici República de Salvador / Pino Suárez,4
Suzuki Universidad,4
Barracuda Diner,4
Pizza Company,4
Cinemex Altavista,4
Zapatería Danielle,4
Universidad Insurgentes,4
Tacos de Canasta Los Especiales,4
Collado aceros,4
T018 Ibero,4
Antimonumento 65,4
Satoshi Sushi Bar,4
Zara,4
Take a Wok,4
Caminati,4
Shanghai Café,4
Tortas Santo Domingo,4
Silva Ramos Jose Aldalberto,4
Cck San Francisco,4
Potzollcalli Picacho,4
Venus de Milo,4
Museo Estanquillo,4
Plutarco González,4
